comunidad,rubro,media_comunidad,t_score,p_value
0.0,Agrupaciones sociales y profesionales,0.0199468085106383,2.189840800844428,0.028545060780944157
0.0,Alcohol y Entretenimiento,1.1752901353965184,9.41278172786224,5.237704170416267e-21
0.0,Alimentacion,23.624677627337203,78.1933983315753,0.0
0.0,Animales y Mascotas,0.3115328820116054,6.780626887246384,1.2234000488605589e-11
0.0,Artes y Hobbies,0.2003949065119278,9.97955842911445,2.073388391315545e-23
0.0,Articulos Electronicos,0.22102675693101226,4.715145205165062,2.4285043613414044e-06
0.0,Articulos de oficina,0.00789813023855577,1.0666247945586107,0.2861516765093904
0.0,Articulos electronicos,0.01986621534493875,1.3310927591863793,0.1831707201677394
0.0,Articulos y servicios del hogar,0.350177304964539,13.908558382439994,8.209419820133379e-44
0.0,Automotriz,2.771075112830432,-46.25370564917628,0.0
0.0,Belleza y Cuidado Personal,0.626974532559639,18.05941545750976,1.937158033744012e-72
0.0,Compras y Retail,3.38926499032882,-2.3987195195658337,0.016459844813867933
0.0,Construccion y grandes obras,0.4483800773694391,-8.530794776068975,1.5351863663031943e-17
0.0,Cultura y Entretenimiento,0.15554480980012894,3.984761934550765,6.774074191886761e-05
0.0,Deportes y Actividades Fisicas,0.16799645390070922,2.923272801047963,0.0034668572484571505
0.0,Educación,0.018858800773694392,2.125676894845122,0.03354001938850065
0.0,Gastronomía,2.7640232108317213,-4.062420648214801,4.8715708053637e-05
0.0,Inmobiliarios,0.07450838168923275,2.3212393751300517,0.020281986878228013
0.0,Instituciones financieras y legales,0.31443423597678916,8.132159858380065,4.412526800511135e-16
0.0,Jardinería y Naturaleza,0.022606382978723406,-0.8959467427845234,0.3702898986965457
0.0,Juegos de azar,0.013499355254674404,-0.1670026730197716,0.8673693064448567
0.0,Maternidad,0.07487105093488072,4.140116882560308,3.482752710694168e-05
0.0,Salud y Bienestar,2.5189796905222437,25.70005626385344,8.879166546197282e-144
0.0,Servicios Basicos,0.44580109606705354,9.930620958494313,3.3845633846911797e-23
0.0,Tercera edad,0.02256608639587363,3.6327384747334697,0.0002809944417560082
0.0,Tiendas de conveniencia,0.7454061895551257,-4.487127153045735,7.2514151349991836e-06
0.0,Transporte,0.6764990328820116,5.469191111904669,4.5645561191730255e-08
0.0,Turismo y Viajes,0.09127176015473888,0.11174003040238357,0.9110304421490905
0.0,Vestuario y Calzado,1.3402240490006447,16.44265873700699,1.9773545419580814e-60
1.0,Agrupaciones sociales y profesionales,0.03435934144595562,3.5970910413264034,0.000327377406019423
1.0,Alcohol y Entretenimiento,1.269863994273443,4.921661881948112,9.079744744566142e-07
1.0,Alimentacion,28.081245526127415,35.218983904772195,3.5988044148215156e-225
1.0,Animales y Mascotas,0.4477451682176092,6.8540351094601135,8.800880227768725e-12
1.0,Artes y Hobbies,0.4255547602004295,15.256016828407356,1.5470566967049893e-50
1.0,Articulos Electronicos,0.41445955619183966,11.67641717915565,8.632582303805451e-31
1.0,Articulos de oficina,0.01395848246241947,2.3386803397573046,0.01942216547436544
1.0,Articulos electronicos,0.03793843951324266,4.184303867046755,2.948669733388957e-05
1.0,Articulos y servicios del hogar,0.6084466714387974,16.515378496133447,1.5511339308318213e-58
1.0,Automotriz,3.5561918396564067,-1.1501751531918678,0.25017020636792536
1.0,Belleza y Cuidado Personal,1.163206871868289,18.490828265004197,4.1530003482760344e-72
1.0,Compras y Retail,15.279885468861847,91.48330648759479,0.0
1.0,Construccion y grandes obras,1.197208303507516,9.66127500626565,9.59884856196883e-22
1.0,Cultura y Entretenimiento,0.22476735862562633,5.646780928682765,1.799383917272931e-08
1.0,Deportes y Actividades Fisicas,0.3654259126700072,11.075681101253368,6.22555764531239e-28
1.0,Educación,0.03471725125268432,4.468636283718682,8.185231618026073e-06
1.0,Gastronomía,5.050107372942018,26.57810385993836,5.9910724397281775e-139
1.0,Inmobiliarios,0.10379384395132427,4.236033094913777,2.3486320246917128e-05
1.0,Instituciones financieras y legales,0.47959914101646384,10.935786734596357,2.755783046016475e-27
1.0,Jardinería y Naturaleza,0.049391553328561204,5.076139999457288,4.104687681108939e-07
1.0,Juegos de azar,0.01145311381531854,-0.7881577301478581,0.43067133640336375
1.0,Maternidad,0.2040085898353615,11.828779775629524,1.5482099634736616e-31
1.0,Salud y Bienestar,4.445239799570508,28.36063600608033,1.0373667406213013e-155
1.0,Servicios Basicos,0.617394416607015,10.39725524631213,7.21016999643114e-25
1.0,Tercera edad,0.030064423765211165,2.7911674445934658,0.005287524261421534
1.0,Tiendas de conveniencia,1.116320687186829,6.2218622855471555,5.649573499013209e-10
1.0,Transporte,1.174302075876879,12.07338048352713,9.412713584578701e-33
1.0,Turismo y Viajes,0.15282748747315678,5.773868145630785,8.601087396994345e-09
1.0,Vestuario y Calzado,2.7304939155332857,27.625659072116378,1.0052138823492545e-148
99.0,Agrupaciones sociales y profesionales,0.008586660155455174,-10.149267277195634,3.7258261273987025e-24
99.0,Alcohol y Entretenimiento,0.3358971228584218,-104.69500181138594,0.0
99.0,Alimentacion,4.969438001058072,-627.3660944840079,0.0
99.0,Animales y Mascotas,0.09994709640662516,-35.64266579795322,2.4625567591795306e-271
99.0,Artes y Hobbies,0.06104260774020266,-55.2875163949581,0.0
99.0,Articulos Electronicos,0.08810483050502584,-49.78207227453711,0.0
99.0,Articulos de oficina,0.0030114353151833315,-10.61018576191127,3.045656721978704e-26
99.0,Articulos electronicos,0.009359866520164408,-12.512874394213371,8.16407095275456e-36
99.0,Articulos y servicios del hogar,0.11944003581166321,-58.19043226821776,0.0
